SB_Delay,comm_type,Host_Delay,Border_Delay,Controller_Delay
2,1,9,0,2276
2,2,1728,0,1427
2,2,1995,0,1370
2,3,1928,1481,1677
2,3,1466,1204,1191
2,3,2109,1264,1235
2,4,3730,2544,591
2,4,3984,2308,585
2,2,1575,0,1044
2,2,1584,0,821
2,1,5,0,1067
2,1,2,0,880
2,1,3,0,1120
2,1,3,0,856
2,1,1,0,714
2,1,2,0,926
2,3,2224,1619,1843
2,3,1567,1308,1489
2,4,2777,2616,645
2,4,2769,3092,602
2,2,1673,0,1386
2,1,4,0,1333
2,1,3,0,1029
2,2,2706,0,1526
2,1,2,0,641
2,2,1843,0,768
2,1,1,0,739
2,1,3,0,845
2,3,1819,1985,1410
2,1,4,0,969
2,3,1842,1627,1353
2,3,1630,1518,1359
2,4,3309,2165,714
2,4,2760,2879,575
2,2,1559,0,1155
2,2,1491,0,762
2,1,5,0,1835
2,1,5,0,1533
2,1,5,0,1284
2,1,5,0,1793
2,1,3,0,906
2,1,3,0,1220
2,3,2015,1960,1951
2,3,2269,2462,1967
2,4,6467,4891,925
2,4,4074,9812,1123
2,2,1978,0,1119
2,2,2205,0,1143
2,2,1904,0,1161
2,1,7,0,1916
2,3,2641,2728,1945
2,1,3,0,1235
2,1,4,0,1454
2,3,2395,2139,1545
2,1,2,0,859
2,1,3,0,1006
2,3,3148,1781,1265
2,1,4,0,1299
2,4,3589,3142,643
2,4,3054,2766,642
2,2,1507,0,883
2,2,1713,0,1164
2,1,2,0,930
2,1,3,0,1062
2,1,1,0,904
2,1,2,0,795
2,1,2,0,768
2,1,3,0,871
2,3,1889,2034,1477
2,3,1513,1544,1266
2,4,2866,2268,581
2,4,3972,2613,687
2,2,1885,0,1121
2,2,1471,0,1022
2,2,1753,0,1127
2,3,1614,1370,1332
2,3,1666,1805,1548
2,3,1741,1524,1199
2,4,3466,2904,681
2,1,5,0,1784
2,4,5416,4143,708
2,1,4,0,887
2,2,2070,0,1025
2,1,2,0,1441
2,2,1475,0,1028
2,1,4,0,817
2,1,3,0,807
2,1,2,0,680
2,3,1849,1463,1202
2,3,1496,1530,1761
2,1,3,0,941
2,1,4,0,1038
2,1,3,0,797
2,4,3652,3314,722
2,1,14,0,1052
2,1,3,0,1548
2,4,3948,3432,575
2,1,2,0,799
2,2,1844,0,1464
2,2,1661,0,895
2,2,1838,0,903
2,3,1719,1477,1415
2,3,1669,1626,1361
2,3,1498,1527,1282
2,4,2816,3186,642
2,4,3826,3295,604
2,2,1670,0,1004
2,2,1605,0,923
2,1,4,0,1427
2,1,3,0,955
2,1,3,0,967
2,1,2,0,624
2,1,3,0,826
2,1,2,0,773
2,3,1928,2034,1892
2,3,1818,1956,1672
2,4,3756,3113,716
2,4,3562,2808,540
2,2,2162,0,870
2,2,1441,0,901
2,2,1543,0,925
2,1,5,0,1238
2,3,1946,4198,1419
2,1,5,0,1475
2,1,4,0,1295
2,1,4,0,1417
2,3,3084,3269,2026
2,1,4,0,1706
2,3,5546,3397,1937
2,1,4,0,1543
2,4,3629,3310,726
2,4,5092,4052,1081
2,2,1789,0,1488
2,2,3447,0,1364
2,1,2,0,654
2,1,4,0,952
2,1,3,0,911
2,1,2,0,768
2,1,3,0,1023
2,1,2,0,749
2,3,1662,1313,1403
2,3,2507,1528,1537
2,4,2887,2769,938
2,4,2844,2432,603
2,2,1600,0,923
2,2,1889,0,917
2,2,1598,0,783
2,3,1785,1904,1219
2,3,1927,2129,1407
2,3,1581,1307,1459
2,4,2807,3596,608
2,4,2745,2293,577
2,2,1829,0,912
2,1,2,0,1566
2,2,1621,0,1342
2,1,2,0,768
2,1,3,0,1035
2,1,2,0,852
2,1,2,0,1014
2,1,2,0,730
2,3,2087,1547,1818
2,1,2,0,680
2,3,2525,1955,2052
2,1,2,0,805
2,1,4,0,1322
2,1,2,0,1171
2,4,3908,3744,560
2,1,5,0,1166
2,1,3,0,885
2,4,3751,2983,565
2,2,1519,0,841
2,2,1948,0,891
2,2,1628,0,1046
2,3,1512,1344,1165
2,3,1991,2238,1274
2,3,1819,1550,1122
2,4,3568,2883,639
2,4,3312,2346,580
2,2,1776,0,1094
2,2,1888,0,1024
2,1,2,0,859
2,1,3,0,829
2,1,4,0,1035
2,1,4,0,842
2,1,3,0,844
2,1,2,0,962
2,3,2047,1595,1330
2,3,1882,2287,1637
2,1,3,0,780
2,1,5,0,1397
2,4,4143,3796,831
2,1,2,0,1373
2,1,4,0,1316
2,1,4,0,947
2,4,3885,3384,710
2,1,2,0,792
2,2,1589,0,883
2,2,1919,0,1249
2,2,1701,0,865
2,3,1489,1875,1161
2,3,1606,1279,1160
2,3,1562,1316,1252
2,4,3869,2500,630
2,4,3030,2937,534
2,2,1604,0,1018
2,2,2361,0,1035
2,1,3,0,1461
2,1,2,0,747
2,1,2,0,792
2,1,2,0,683
2,1,2,0,982
2,1,2,0,711
2,3,1698,1265,1253
2,3,2376,1555,1270
2,4,3520,2550,657
2,4,4192,2929,986
2,1,4,0,1244
2,1,4,0,1070
2,2,1576,0,848
2,1,4,0,1309
2,2,2227,0,1401
2,1,2,0,934
2,2,1905,0,1494
2,1,5,0,1464
2,1,3,0,1721
2,3,2009,2488,1332
2,3,1488,1344,1452
2,3,1577,1263,1343
2,4,2699,2900,649
2,4,3657,3258,574
2,2,1441,0,890
2,2,2122,0,1015
2,1,6,0,1488
